correct_ans,images,type_of_image,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
left,images/gorilla_face.jpeg,gorilla,0,0,0,0,left,0.683904886246,2016_Feb_02_1105,60.1420131919,visneuro,001,psychopy_TF,
left,images/gorilla_tongue.jpeg,gorilla,0,1,1,2,left,0.567000150681,2016_Feb_02_1105,60.1420131919,visneuro,001,psychopy_TF,
right,images/cat_eyes.jpeg,cat,0,2,2,3,up,0.766566991806,2016_Feb_02_1105,60.1420131919,visneuro,001,psychopy_TF,
up,images/egg_hog.jpeg,hog,0,3,3,6,up,0.89834189415,2016_Feb_02_1105,60.1420131919,visneuro,001,psychopy_TF,
left,images/gorilla_fat.jpeg,gorilla,0,4,4,1,left,0.965969085693,2016_Feb_02_1105,60.1420131919,visneuro,001,psychopy_TF,
right,images/ear_muffs_cat.jpeg,cat,0,5,5,4,right,0.698899030685,2016_Feb_02_1105,60.1420131919,visneuro,001,psychopy_TF,
right,images/rat_cat.jpeg,cat,0,6,6,5,right,0.533756017685,2016_Feb_02_1105,60.1420131919,visneuro,001,psychopy_TF,
up,images/icecream_hog.jpeg,hog,0,7,7,7,left,0.816604137421,2016_Feb_02_1105,60.1420131919,visneuro,001,psychopy_TF,
up,images/marshmallow_hog.jpeg,hog,0,8,8,8,up,0.749811887741,2016_Feb_02_1105,60.1420131919,visneuro,001,psychopy_TF,
up,images/santa_hog.jpeg,hog,0,9,9,9,up,0.583636045456,2016_Feb_02_1105,60.1420131919,visneuro,001,psychopy_TF,
