correct_ans,images,type_of_image,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
left,images/gorilla_face.jpeg,gorilla,3,7,37,0,left,0.434127807617,2016_Feb_02_1106,60.0997864993,visneuro,001,psychopy_TF,
up,images/marshmallow_hog.jpeg,hog,3,8,38,8,right,0.750090837479,2016_Feb_02_1106,60.0997864993,visneuro,001,psychopy_TF,
up,images/egg_hog.jpeg,hog,3,9,39,6,up,0.749723911285,2016_Feb_02_1106,60.0997864993,visneuro,001,psychopy_TF,
left,images/gorilla_face.jpeg,gorilla,4,0,40,0,left,0.733286142349,2016_Feb_02_1106,60.0997864993,visneuro,001,psychopy_TF,
right,images/cat_eyes.jpeg,cat,4,1,41,3,right,0.766602993011,2016_Feb_02_1106,60.0997864993,visneuro,001,psychopy_TF,
left,images/gorilla_tongue.jpeg,gorilla,4,2,42,2,up,0.79981303215,2016_Feb_02_1106,60.0997864993,visneuro,001,psychopy_TF,
right,images/ear_muffs_cat.jpeg,cat,4,3,43,4,right,1.16443705559,2016_Feb_02_1106,60.0997864993,visneuro,001,psychopy_TF,
up,images/marshmallow_hog.jpeg,hog,4,4,44,8,left,0.650109052658,2016_Feb_02_1106,60.0997864993,visneuro,001,psychopy_TF,
up,images/icecream_hog.jpeg,hog,4,5,45,7,up,0.649961948395,2016_Feb_02_1106,60.0997864993,visneuro,001,psychopy_TF,
up,images/santa_hog.jpeg,hog,4,6,46,9,up,0.483858108521,2016_Feb_02_1106,60.0997864993,visneuro,001,psychopy_TF,
left,images/gorilla_fat.jpeg,gorilla,4,7,47,1,left,1.04920911789,2016_Feb_02_1106,60.0997864993,visneuro,001,psychopy_TF,
right,images/rat_cat.jpeg,cat,4,8,48,5,right,0.766495943069,2016_Feb_02_1106,60.0997864993,visneuro,001,psychopy_TF,
up,images/egg_hog.jpeg,hog,4,9,49,6,up,0.748768091202,2016_Feb_02_1106,60.0997864993,visneuro,001,psychopy_TF,
