correct_ans,images,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,date,frameRate,expName,session,participant,
right,images/ear_muffs_cat.jpeg,0,3,3,4,2015_Aug_26_0828,60.1420994295,proficient,001,1,
left,images/gorilla_face.jpeg,0,4,4,0,2015_Aug_26_0828,60.1420994295,proficient,001,1,
up,images/marshmallow_hog.jpeg,0,5,5,8,2015_Aug_26_0828,60.1420994295,proficient,001,1,
up,images/santa_hog.jpeg,0,6,6,9,2015_Aug_26_0828,60.1420994295,proficient,001,1,
right,images/cat_eyes.jpeg,0,7,7,3,2015_Aug_26_0828,60.1420994295,proficient,001,1,
up,images/egg_hog.jpeg,0,8,8,6,2015_Aug_26_0828,60.1420994295,proficient,001,1,
left,images/gorilla_fat.jpeg,0,9,9,1,2015_Aug_26_0828,60.1420994295,proficient,001,1,
