correct_ans,images,type_of_image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,date,frameRate,expName,session,participant,
left,images/gorilla_face.jpeg,gorilla,,,,,3,9,39,0,,,,up,0,0.129019975662,2015_Aug_26_0856,60.1001309669,proficient,001,001,
up,images/icecream_hog.jpeg,hog,,,,,4,0,40,7,,,,left,0,0.045804977417,2015_Aug_26_0856,60.1001309669,proficient,001,001,
left,images/gorilla_face.jpeg,gorilla,,,,,4,1,41,0,,,,right,0,0.428541898727,2015_Aug_26_0856,60.1001309669,proficient,001,001,
left,images/gorilla_tongue.jpeg,gorilla,,,,,4,2,42,2,,,,up,0,0.162801027298,2015_Aug_26_0856,60.1001309669,proficient,001,001,
up,images/egg_hog.jpeg,hog,,,,,4,3,43,6,,,,left,0,0.144892930984,2015_Aug_26_0856,60.1001309669,proficient,001,001,
right,images/ear_muffs_cat.jpeg,cat,,,,,4,4,44,4,,,,right,1,0.195334911346,2015_Aug_26_0856,60.1001309669,proficient,001,001,
up,images/santa_hog.jpeg,hog,,,,,4,5,45,9,,,,up,1,0.194658994675,2015_Aug_26_0856,60.1001309669,proficient,001,001,
up,images/marshmallow_hog.jpeg,hog,,,,,4,6,46,8,,,,left,0,0.0953059196472,2015_Aug_26_0856,60.1001309669,proficient,001,001,
left,images/gorilla_fat.jpeg,gorilla,,,,,4,7,47,1,,,,right,0,0.161747932434,2015_Aug_26_0856,60.1001309669,proficient,001,001,
right,images/cat_eyes.jpeg,cat,,,,,4,8,48,3,,,,left,0,0.111428976059,2015_Aug_26_0856,60.1001309669,proficient,001,001,
right,images/rat_cat.jpeg,cat,,,,,4,9,49,5,,,,right,1,0.228343009949,2015_Aug_26_0856,60.1001309669,proficient,001,001,
